,d,Method,P_value,GT,Time
232,8,DINE_CIT,0.59,True,2.026777982711792
233,8,DINE_CIT,0.97,True,2.707406997680664
234,8,DINE_CIT,0.65,True,3.878448009490967
235,8,DINE_CIT,0.18,True,1.9275319576263428
236,8,DINE_CIT,0.65,True,1.7627418041229248
237,8,DINE_CIT,0.63,True,4.184712171554565
238,8,DINE_CIT,0.51,True,4.281512022018433
239,8,DINE_CIT,0.28,True,1.842592000961304
240,8,DINE_CIT,0.82,True,8.499089241027832
241,8,DINE_CIT,0.92,True,3.1801679134368896
242,8,DINE_CIT,0.55,True,3.582237958908081
243,8,DINE_CIT,0.44,True,4.036173105239868
244,8,DINE_CIT,0.78,True,10.325799942016602
245,8,DINE_CIT,0.17,True,3.1068429946899414
246,8,DINE_CIT,0.72,True,4.208223819732666
247,8,DINE_CIT,0.11,True,7.563623905181885
248,8,DINE_CIT,0.08,True,6.724132776260376
249,8,DINE_CIT,0.13,True,3.905886173248291
250,8,DINE_CIT,0.44,True,2.475663185119629
251,8,DINE_CIT,0.53,True,3.3985440731048584
252,8,DINE_CIT,0.62,True,3.749310970306397
253,8,DINE_CIT,0.84,True,2.616647958755493
254,8,DINE_CIT,0.11,True,3.3531150817871094
255,8,DINE_CIT,0.76,True,3.3137638568878174
256,8,DINE_CIT,0.75,True,4.736546039581299
257,8,DINE_CIT,0.38,True,7.206067800521851
258,8,DINE_CIT,0.87,True,4.643589973449707
259,8,DINE_CIT,0.8,True,6.0522620677948
260,8,DINE_CIT,0.01,True,1.983367919921875
261,8,DINE_CIT,0.05,True,2.900960922241211
262,8,DINE_CIT,0.03,True,4.058082103729248
263,8,DINE_CIT,0.87,True,5.181295156478882
264,8,DINE_CIT,0.59,True,10.367067098617554
265,8,DINE_CIT,0.62,True,2.3600919246673584
266,8,DINE_CIT,0.25,True,4.1865410804748535
267,8,DINE_CIT,0.21,True,3.5328760147094727
268,8,DINE_CIT,0.17,True,3.691675901412964
269,8,DINE_CIT,0.35,True,3.1166110038757324
270,8,DINE_CIT,0.36,True,4.20593786239624
271,8,DINE_CIT,0.4,True,3.5584750175476074
272,8,DINE_CIT,0.69,True,2.542617082595825
273,8,DINE_CIT,0.1,True,3.177069187164306
274,8,DINE_CIT,0.41,True,1.9725189208984373
275,8,DINE_CIT,0.8,True,1.911890983581543
276,8,DINE_CIT,0.98,True,3.8850481510162354
277,8,DINE_CIT,0.47,True,5.189977169036865
278,8,DINE_CIT,1.0,True,9.686414003372192
279,8,DINE_CIT,0.88,True,3.1433749198913574
280,8,DINE_CIT,0.07,True,1.8375070095062256
281,8,DINE_CIT,0.17,True,4.040249824523926
282,8,DINE_CIT,0.51,True,3.124656915664673
283,8,DINE_CIT,0.76,True,2.31705379486084
284,8,DINE_CIT,0.0,False,3.2630090713500977
285,8,DINE_CIT,0.0,False,3.2421059608459477
286,8,DINE_CIT,0.0,False,1.8564109802246092
287,8,DINE_CIT,0.0,False,2.1170079708099365
288,8,DINE_CIT,0.12,True,2.5657200813293457
289,8,DINE_CIT,0.91,True,3.568476915359497
290,8,DINE_CIT,0.19,True,4.624445915222168
291,8,DINE_CIT,0.21,True,2.378211975097656
292,8,DINE_CIT,0.17,True,2.9851911067962646
293,8,DINE_CIT,0.2,True,8.40808391571045
294,8,DINE_CIT,0.41,True,4.287461757659912
295,8,DINE_CIT,0.49,True,10.167532205581663
296,8,DINE_CIT,0.28,True,2.9683480262756348
297,8,DINE_CIT,0.41,True,3.461329936981201
298,8,DINE_CIT,0.85,True,2.3633358478546143
299,8,DINE_CIT,0.59,True,3.783959865570069
300,8,DINE_CIT,0.93,True,5.347165822982788
301,8,DINE_CIT,0.58,True,2.5291969776153564
302,8,DINE_CIT,0.99,True,6.698270082473755
303,8,DINE_CIT,0.27,True,5.778371095657349
304,8,DINE_CIT,0.0,False,2.596571207046509
305,8,DINE_CIT,0.0,False,2.259472131729126
306,8,DINE_CIT,0.0,False,3.1519720554351807
307,8,DINE_CIT,0.0,False,2.484261989593506
308,8,DINE_CIT,0.0,False,5.609843969345093
309,8,DINE_CIT,0.0,False,5.678056955337524
310,8,DINE_CIT,0.0,False,5.7380852699279785
311,8,DINE_CIT,0.0,False,7.321477890014648
312,8,DINE_CIT,0.0,False,4.3009421825408936
313,8,DINE_CIT,0.0,False,3.850342035293579
314,8,DINE_CIT,0.0,False,3.3679659366607666
315,8,DINE_CIT,0.0,False,4.282289743423462
316,8,DINE_CIT,0.0,False,3.3533918857574463
317,8,DINE_CIT,0.0,False,2.436951160430908
318,8,DINE_CIT,0.0,False,4.454359769821167
319,8,DINE_CIT,0.0,False,1.7895443439483645
320,8,DINE_CIT,0.0,False,4.940749168395996
321,8,DINE_CIT,0.0,False,3.841847896575928
322,8,DINE_CIT,0.0,False,5.691794157028198
323,8,DINE_CIT,0.0,False,4.555505037307739
324,8,DINE_CIT,0.0,False,2.883211135864258
325,8,DINE_CIT,0.0,False,8.100214958190918
326,8,DINE_CIT,0.0,False,2.7653188705444336
327,8,DINE_CIT,0.0,False,3.9214470386505127
328,8,DINE_CIT,0.0,False,5.897932052612305
329,8,DINE_CIT,0.0,False,2.771759033203125
330,8,DINE_CIT,0.0,False,5.200923919677734
331,8,DINE_CIT,0.0,False,5.758688926696777
332,8,DINE_CIT,0.0,False,5.751192092895508
333,8,DINE_CIT,0.0,False,3.742335796356201
334,8,DINE_CIT,0.0,False,2.298673152923584
335,8,DINE_CIT,0.0,False,1.8603277206420896
336,8,DINE_CIT,0.0,False,4.152462959289551
337,8,DINE_CIT,0.0,False,13.00237798690796
338,8,DINE_CIT,0.0,False,1.8978230953216555
339,8,DINE_CIT,0.0,False,2.187713861465454
340,8,DINE_CIT,0.0,False,8.284961938858032
341,8,DINE_CIT,0.0,False,2.0942158699035645
342,8,DINE_CIT,0.0,False,3.695673942565918
343,8,DINE_CIT,0.0,False,3.0523059368133545
344,8,DINE_CIT,0.0,False,4.213804960250855
345,8,DINE_CIT,0.0,False,2.9812910556793213
346,8,DINE_CIT,0.0,False,2.432765007019043
347,8,DINE_CIT,0.0,False,2.861624002456665
348,8,DINE_CIT,0.0,False,2.89595890045166
349,8,DINE_CIT,0.0,False,4.977051973342896
350,8,DINE_CIT,0.0,False,10.380571126937866
351,8,DINE_CIT,0.0,False,4.202069044113159
352,8,DINE_CIT,0.0,False,2.45593523979187
353,8,DINE_CIT,0.0,False,4.050694942474365
354,8,DINE_CIT,0.0,False,5.819516181945801
355,8,DINE_CIT,0.0,False,5.144538879394531
356,8,DINE_CIT,0.0,False,10.022277116775513
357,8,DINE_CIT,0.0,False,3.0658669471740723
358,8,DINE_CIT,0.0,False,2.8317010402679443
359,8,DINE_CIT,0.0,False,3.840792179107666
360,8,DINE_CIT,0.0,False,2.003829002380371
361,8,DINE_CIT,0.0,False,2.544874906539917
362,8,DINE_CIT,0.0,False,3.967472076416016
363,8,DINE_CIT,0.0,False,3.644344091415405
364,8,DINE_CIT,0.0,False,8.391258955001831
365,8,DINE_CIT,0.0,False,1.56650972366333
366,8,DINE_CIT,0.0,False,3.888837099075317
367,8,DINE_CIT,0.0,False,2.7980527877807617
368,8,DINE_CIT,0.0,False,3.595906972885132
369,8,DINE_CIT,0.0,False,3.8801000118255615
370,8,DINE_CIT,0.0,False,4.3931262493133545
371,8,DINE_CIT,0.0,False,2.58396315574646
372,8,DINE_CIT,0.0,False,2.2241921424865723
373,8,DINE_CIT,0.0,False,5.780930042266846
374,8,DINE_CIT,0.0,False,2.863765954971313
375,8,DINE_CIT,0.0,False,3.732573986053467
376,8,DINE_CIT,0.0,False,3.7470998764038086
377,8,DINE_CIT,0.0,False,2.3134970664978027
378,8,DINE_CIT,0.0,False,4.821786165237427
379,8,DINE_CIT,0.0,False,3.168931007385254
380,8,DINE_CIT,0.0,False,5.921751976013184
381,8,DINE_CIT,0.0,False,4.164106130599976
382,8,DINE_CIT,0.0,False,3.247380018234253
383,8,DINE_CIT,0.0,False,2.5340569019317627
384,8,DINE_CIT,0.0,False,3.6050660610198975
385,8,DINE_CIT,0.0,False,2.3662331104278564
386,8,DINE_CIT,0.0,False,2.861790895462036
387,8,DINE_CIT,0.0,False,2.665879964828491
388,8,DINE_CIT,0.0,False,2.844651937484741
