,N,d,Method,GT,rho,random_state,Pred,Time
0,200,2,LMI,3.9170355472516896,-0.99,16,2.9256839677976245,1.6782639026641846
1,200,2,KSG,3.9170355472516896,-0.99,16,0.9342377328790133,0.002008199691772461
2,200,2,CCMI,3.9170355472516896,-0.99,16,0.7291223406791687,6.560918092727661
3,200,2,LMI,3.9170355472516896,-0.99,17,2.6936970429619747,0.6929998397827148
4,200,2,KSG,3.9170355472516896,-0.99,17,1.6345828631154666,0.0017211437225341797
5,200,2,CCMI,3.9170355472516896,-0.99,17,0.20046480000019073,6.304471015930176
6,200,2,LMI,3.9170355472516896,-0.99,18,2.571502302560475,1.2728679180145264
7,200,2,KSG,3.9170355472516896,-0.99,18,0.804735309519656,0.002559185028076172
8,200,2,LMI,3.9170355472516896,-0.99,0,1.7981792893033823,2.3392367362976074
9,200,2,KSG,3.9170355472516896,-0.99,0,0.8347810568836377,0.005466938018798828
10,200,2,CCMI,3.9170355472516896,-0.99,0,0.08714812248945236,6.703399896621704
11,200,2,LMI,3.9170355472516896,-0.99,1,2.960049541438956,0.6186990737915039
12,200,2,KSG,3.9170355472516896,-0.99,1,1.5274443721086453,0.0028181076049804688
13,200,2,CCMI,3.9170355472516896,-0.99,1,0.05504893511533737,6.206780910491943
14,200,2,LMI,3.9170355472516896,-0.99,2,2.479739802692681,2.423895835876465
15,200,2,KSG,3.9170355472516896,-0.99,2,0.4813213814861642,0.004413127899169922
16,200,2,LMI,3.9170355472516896,-0.99,8,2.722641352992604,2.248724937438965
17,200,2,KSG,3.9170355472516896,-0.99,8,0.7101093980731273,0.0040929317474365234
18,200,2,CCMI,3.9170355472516896,-0.99,8,0.07704722136259079,6.676239252090454
19,200,2,LMI,3.9170355472516896,-0.99,9,2.3372787585476007,2.646450996398926
20,200,2,KSG,3.9170355472516896,-0.99,9,0.6328330052030652,0.004489898681640625
21,200,2,CCMI,3.9170355472516896,-0.99,9,0.09266926348209381,6.037847995758057
22,200,2,LMI,3.9170355472516896,-0.99,10,2.856068155197295,2.228950023651123
23,200,2,KSG,3.9170355472516896,-0.99,10,0.6853262444803349,0.002933025360107422
24,200,2,KSG,3.9170355472516896,-0.99,13,1.814887316016049,0.005046844482421875
25,200,2,CCMI,3.9170355472516896,-0.99,13,1.0057048797607422,6.097317695617676
26,200,2,LMI,3.9170355472516896,-0.99,14,3.1639598652481404,1.467061996459961
27,200,2,KSG,3.9170355472516896,-0.99,14,1.5731093800249325,0.005000114440917969
28,200,2,CCMI,3.9170355472516896,-0.99,14,0.056006647646427155,6.082832098007202
29,200,2,LMI,3.9170355472516896,-0.99,15,1.7823204216518993,0.9241237640380859
30,200,2,KSG,3.9170355472516896,-0.99,15,1.041499377406784,0.0018949508666992188
31,200,2,CCMI,3.9170355472516896,-0.99,15,0.6301776766777039,6.057944059371948
32,200,2,CCMI,3.9170355472516896,-0.99,18,0.12174324691295624,6.58068585395813
33,200,2,LMI,3.9170355472516896,-0.99,19,1.8423740869400262,1.1973199844360352
34,200,2,KSG,3.9170355472516896,-0.99,19,0.8002297722439867,0.0015239715576171875
35,200,2,CCMI,3.9170355472516896,-0.99,19,0.640324592590332,6.130973815917969
36,200,2,LMI,3.9170355472516896,-0.99,20,2.4502522571860004,1.0040011405944824
37,200,2,KSG,3.9170355472516896,-0.99,20,1.4950344939226543,0.0017490386962890625
38,200,2,CCMI,3.9170355472516896,-0.99,20,0.05220508202910423,5.614384889602661
39,200,2,LMI,3.9170355472516896,-0.99,21,3.2324536692225116,0.7149581909179688
40,200,2,KSG,3.9170355472516896,-0.99,5,0.7423426012711579,0.029520034790039062
41,200,2,CCMI,3.9170355472516896,-0.99,5,0.09098499268293381,6.680091857910156
42,200,2,LMI,3.9170355472516896,-0.99,6,2.6287494728266534,1.916534185409546
43,200,2,KSG,3.9170355472516896,-0.99,6,0.788550592244586,0.0049130916595458984
44,200,2,CCMI,3.9170355472516896,-0.99,6,0.7806156873703003,6.178683042526245
45,200,2,LMI,3.9170355472516896,-0.99,7,2.704439204210976,1.4763548374176025
46,200,2,KSG,3.9170355472516896,-0.99,7,0.9245121586766397,0.0016579627990722656
47,200,2,CCMI,3.9170355472516896,-0.99,7,0.11073340475559235,6.0946362018585205
48,200,2,CCMI,3.9170355472516896,-0.99,10,0.4775240421295166,6.322610855102539
49,200,2,LMI,3.9170355472516896,-0.99,11,2.920024428447952,2.462183952331543
50,200,2,KSG,3.9170355472516896,-0.99,11,0.7647721771486194,0.002110004425048828
51,200,2,CCMI,3.9170355472516896,-0.99,11,0.05247301608324051,6.060238838195801
52,200,2,LMI,3.9170355472516896,-0.99,12,3.158720849586621,0.8439972400665283
53,200,2,KSG,3.9170355472516896,-0.99,12,1.5989095687737516,0.0015380382537841797
54,200,2,CCMI,3.9170355472516896,-0.99,12,0.10708830505609512,5.987996816635132
55,200,2,LMI,3.9170355472516896,-0.99,13,3.813810036214272,0.6320767402648926
56,200,2,CCMI,3.9170355472516896,-0.99,2,0.3750150799751282,6.7969889640808105
57,200,2,LMI,3.9170355472516896,-0.99,3,2.378073446863471,2.5172271728515625
58,200,2,KSG,3.9170355472516896,-0.99,3,0.7180680397029965,0.003922939300537109
59,200,2,CCMI,3.9170355472516896,-0.99,3,0.26890048384666443,6.217878818511963
60,200,2,LMI,3.9170355472516896,-0.99,4,1.930432599832891,1.2470641136169434
61,200,2,KSG,3.9170355472516896,-0.99,4,0.35943473464060405,0.0016989707946777344
62,200,2,CCMI,3.9170355472516896,-0.99,4,0.2539352774620056,6.554245233535767
63,200,2,LMI,3.9170355472516896,-0.99,5,2.38122099492127,1.3857321739196777
64,200,2,LMI,3.9170355472516896,-0.99,24,2.1025065962338334,2.4442038536071777
65,200,2,KSG,3.9170355472516896,-0.99,24,0.78426350222096,0.003022909164428711
66,200,2,CCMI,3.9170355472516896,-0.99,24,0.07976027578115463,7.66326904296875
67,200,2,LMI,3.9170355472516896,-0.99,25,2.8134576194354914,3.046745777130127
68,200,2,KSG,3.9170355472516896,-0.99,25,0.7391949463489168,0.004945039749145508
69,200,2,CCMI,3.9170355472516896,-0.99,25,0.08180282264947891,9.030606985092163
70,200,2,LMI,3.9170355472516896,-0.99,26,3.2826015132504818,2.459030866622925
71,200,2,KSG,3.9170355472516896,-0.99,26,1.6957938176803617,0.006279945373535156
