,N,d,Method,GT,rho,random_state,Pred,Time
0,200,2,MINE,3.9170355472516896,-0.99,16,1.9003713130950928,2.89448618888855
1,200,2,MIND,3.9170355472516896,-0.99,16,2.069113150629428,13.339000701904297
2,200,2,MINE,3.9170355472516896,-0.99,17,1.1674940586090088,1.9810433387756348
3,200,2,MIND,3.9170355472516896,-0.99,17,3.0465952974206343,15.425783157348633
4,200,2,MINE,3.9170355472516896,-0.99,18,1.3797860145568848,1.562110185623169
5,200,2,MINE,3.9170355472516896,-0.99,0,2.0052759647369385,3.2291431427001958
6,200,2,MIND,3.9170355472516896,-0.99,0,2.122154968987924,15.298653841018677
7,200,2,MINE,3.9170355472516896,-0.99,1,1.618663668632507,3.352789163589477
8,200,2,MIND,3.9170355472516896,-0.99,1,2.009755079276198,14.149765014648438
9,200,2,MINE,3.9170355472516896,-0.99,2,1.7562931776046753,3.010950326919556
10,200,2,MINE,3.9170355472516896,-0.99,8,1.4861575365066528,2.1600000858306885
11,200,2,MIND,3.9170355472516896,-0.99,8,2.146724451277236,15.900796890258787
12,200,2,MINE,3.9170355472516896,-0.99,9,1.8307528495788572,2.5158188343048096
13,200,2,MIND,3.9170355472516896,-0.99,9,1.3686773359062494,18.876420974731445
14,200,2,MINE,3.9170355472516896,-0.99,10,1.027402639389038,2.283930778503418
15,200,2,MIND,3.9170355472516896,-0.99,18,0.9719200049315188,18.136420249938965
16,200,2,MINE,3.9170355472516896,-0.99,19,0.9575998187065125,2.907594919204712
17,200,2,MIND,3.9170355472516896,-0.99,19,2.1116426179578847,12.909332036972046
18,200,2,MINE,3.9170355472516896,-0.99,20,1.4613850116729736,2.0728938579559326
19,200,2,MIND,3.9170355472516896,-0.99,20,2.3447525991228653,11.266934156417848
20,200,2,MIND,3.9170355472516896,-0.99,10,2.0776257556290783,16.69184684753418
21,200,2,MINE,3.9170355472516896,-0.99,11,0.9031347036361694,1.9174818992614744
22,200,2,MIND,3.9170355472516896,-0.99,11,2.1362448049193,12.84630012512207
23,200,2,MINE,3.9170355472516896,-0.99,12,1.981413960456848,2.070679187774658
24,200,2,MIND,3.9170355472516896,-0.99,12,2.556839664702112,16.71732997894287
25,200,2,MINE,3.9170355472516896,-0.99,13,1.0865037441253662,3.348292827606201
26,200,2,MIND,3.9170355472516896,-0.99,13,2.168530990878472,17.180854082107544
27,200,2,MINE,3.9170355472516896,-0.99,14,2.2549898624420166,1.7731409072875977
28,200,2,MIND,3.9170355472516896,-0.99,14,2.184474401930016,15.982113122940063
29,200,2,MINE,3.9170355472516896,-0.99,15,2.021860122680664,2.81062388420105
30,200,2,MIND,3.9170355472516896,-0.99,15,1.003666336222219,13.23353099822998
31,200,2,MIND,3.9170355472516896,-0.99,2,2.107750992163304,19.87026596069336
32,200,2,MINE,3.9170355472516896,-0.99,3,0.9830487966537476,1.8174960613250728
33,200,2,MIND,3.9170355472516896,-0.99,3,2.183726680195311,13.48681116104126
34,200,2,MINE,3.9170355472516896,-0.99,4,1.7993625402450562,2.509511947631836
35,200,2,MIND,3.9170355472516896,-0.99,4,2.1137870184077867,13.92821192741394
36,200,2,MINE,3.9170355472516896,-0.99,5,1.1698658466339111,3.880732297897339
37,200,2,MIND,3.9170355472516896,-0.99,5,2.205304859291127,15.07543396949768
38,200,2,MINE,3.9170355472516896,-0.99,6,1.9458909034729004,1.917266130447388
39,200,2,MIND,3.9170355472516896,-0.99,6,2.299243152809624,15.192620038986206
40,200,2,MINE,3.9170355472516896,-0.99,7,1.4910894632339478,2.071004867553711
